"open","high","low","close","volume","will5","will14","ema12","next1"
397,397,397,397,0,-35.44303797,-56.22317597,425.7338972,397
397,397,397,397,0,-100,-56.22317597,421.3132977,390
397,450,387.63,390,10.78,-96.2000962,-59.22746781,416.4958673,370.94
390,394,370.01,370.94,0.7155,-98.83735467,-67.40772532,409.4872723,380.02
370.94,393.22,370.12,380.02,6.68,-87.48593574,-59.16034201,404.9538458,390
380.02,390,380.02,390,2,-75.00937617,-54.36641368,402.6532541,370.11
390,390,370.1,370.11,0.275,-99.87498437,-63.9206456,397.6465996,355
370.11,389.98,355,355,20.27,-100,-65.04922235,391.0855843,322.11
355,369.63,322.11,322.11,38.11,-100,-82.84177215,380.473956,330
322.11,330,273.33,330,18.72,-51.42710208,-68.45884121,372.708732,349.85
330,349.85,300,349.85,53.41,-34.41330248,-57.4108087,369.192004,335
349.85,349.85,315.06,335,0.12,-47.13244749,-65.09311145,363.9316957,359.98
335,359.98,335,359.98,8.1,-10.02076843,-50.95375559,363.3237425,370.19
359.98,400,335.16,370.19,30.22,-23.53359122,-45.17461935,364.3800898,355.59
370.19,378.99,355.59,355.59,7.78,-44.41,-53.43861437,363.0277683,357.18
355.59,379,355.59,357.18,0.4618,-50.41205557,-52.53863135,362.1281116,379
357.18,379,352.83,379,16.63,-32.30769231,-16.57851109,364.7237868,400
379,400,370.1,400,20.85,0,0,370.1508965,411.26
400,418.99,395.28,411.26,29.73,-11.68379686,-5.306879033,376.475374,400.31
411.26,411.26,385.48,400.31,11.23,-28.23458283,-12.82438556,380.1422395,389.14
400.31,400.31,374.61,389.14,16.08,-45.11789601,-20.49292874,381.5265103,381.01
389.14,389.14,376.73,381.01,0.05216,-77.68459808,-26.07441988,381.4470472,395.79
381.01,395.79,371,395.79,0.9598,-48.34340488,-15.9275024,383.6536553,395.79
395.79,395.79,395.79,395.79,0,-38.42523597,-19.49743676,385.5207853,391.24
395.79,395.79,391.24,391.24,0.05,-30.94506994,-26.70066391,386.4006645,391.58
391.24,391.58,371,391.58,9.92,-16.9826543,-32.63483748,387.1974853,388.71
391.58,393.49,371.38,388.71,2.66,-28.55990319,-36.12072051,387.4301799,368.64
388.71,388.71,365,368.64,11.95,-88.17797986,-76.10338573,384.539383,373.35
368.64,373.69,355,373.35,7.6,-55.0134837,-68.98428053,382.8179394,359.51
373.35,373.35,355,359.51,7.81,-88.28267082,-89.90326481,379.2321026,362.5
359.51,384.72,359.51,362.5,6.12,-80.51441933,-88.27941866,376.657933,364.3
