"open","high","low","close","volume","will5","next1"
229.23,229.23,215,220.5,16.66,-66.82750302,215.01
220.5,221.92,215,215.01,3.39,-99.93968637,207.2
215.01,215.01,205,207.2,5.63,-91.72310008,224
207.2,224,207.2,224,2.52,-22.95214923,232.8
224,240,207,232.8,58.79,-20.57142857,250
232.8,250,228,250,44.01,0,233.94
250,264.8,228,233.94,48.46,-51.60535117,250.66
233.94,250.66,227.67,250.66,27.26,-24.46366782,249.98
250.66,250.66,230.3,249.98,7.42,-25.64013841,236
249.98,249.98,230.3,236,14.94,-77.56531107,240.1
236,244.06,236,240.1,6.17,-66.5230272,241.03
240.1,248.5,240.1,241.03,40.23,-41.88777729,240.12
241.03,244.09,240.09,240.12,0.2377,-51.76817289,235
240.12,247.44,235,235,21.4,-76.11788618,236.12
235,239.9,234.08,236.12,28.05,-85.85298197,238
236.12,238,236.12,238,0.88,-72.81553398,237.02
238,240.18,237.02,237.02,6.48,-77.99401198,239.64
237.02,239.64,235,239.64,22.71,-58.38323353,256
239.64,259.42,238,256,122.77,-13.4964483,250.13
256,256,244,250.13,43.61,-38.04258804,250.36
250.13,261.5,240.01,250.36,24.21,-42.03773585,271.37
250.36,280,249.89,271.37,53.78,-19.17777778,277
271.37,280.09,264.69,277,24.73,-7.341411262,269.4
277,285.73,267.32,269.4,36.32,-35.71741032,274.49
269.4,278.61,265.17,274.49,16.6,-24.58442695,260
274.49,275.46,260,260,10.93,-71.79129464,269.93
260,270,260,269.93,0.1874,-61.40691799,270.08
269.93,280,269.93,270.08,3.76,-60.82394092,297
270.08,297.51,270.08,297,18.78,-1.35963743,295
297,300,287.21,295,26.6,-12.5,295.68
295,299.94,289,295.68,37.08,-10.8,290.28
295.68,296.94,289.37,290.28,10.73,-32.32457599,285
290.28,293,272,285,77.95,-50.13368984,282.33
285,288.63,272.64,282.33,54.76,-63.10714286,288
282.33,288,281.51,288,0.1454,-42.73443092,294.44
288,294.44,288,294.44,32.99,-10.02405774,284
294.44,294.96,284,284,17.76,-47.73519164,257.48
284,288.2,250,257.48,37.81,-83.36298932,255
257.48,280.87,253.45,255,6.26,-88.87900356,261.65
255,271,255,261.65,1.21,-74.08807829,259.68
261.65,272.49,259.68,259.68,0.1201,-78.46975089,271.34
259.68,271.34,258.06,271.34,18.18,-44.13612565,266.58
271.34,272,263,266.58,9.08,-52.11524435,255.33
266.58,266.58,245,255.33,28.13,-62.42269916,250.98
255.33,255.33,237.69,250.98,10.57,-61.81034483,251.9
250.98,269,250.05,251.9,14.12,-58.58350335,252
251.9,252,242.88,252,0.6849,-58.29204314,252.5
252,255.7,247.81,252.5,2.12,-52.69881827,243.59
252.5,252.5,240.44,243.59,4.38,-81.15618013,269
243.59,269,240.19,269,4.65,0,244.42
269,269,244.42,244.42,1.03,-85.31759806,242.98
244.42,249.24,241.06,242.98,17.81,-90.31586255,251.2
242.98,255.93,240,251.2,16.16,-61.37931034,252.9
251.2,256,249.37,252.9,6.6,-55.51724138,249.56
252.9,255,249.52,249.56,9.16,-67.03448276,259.99
249.56,259.99,249.56,259.99,1.45,0,254.38
259.99,262.42,253.01,254.38,8.99,-35.86083854,248.84
254.42,256.88,246.51,248.84,25.79,-85.35512256,249.46
248.84,258.24,244.39,249.46,13.77,-71.88019967,249.27
249.46,249.46,239.96,249.27,7.55,-58.54853072,242.5
249.27,249.27,232.85,242.5,37.67,-67.36557322,232.58
242.5,242.5,230.76,232.58,23.62,-93.37700146,240
232.58,240,232.58,240,18.94,-66.37554585,227.94
240,254.38,223.54,227.94,21.32,-85.73281453,221.98
227.94,231.85,216.5,221.98,41.27,-85.53326294,220.11
221.98,224,219.66,220.11,12.48,-90.46990496,233.6
220.11,234.7,220.11,233.6,9.11,-54.85744456,223.01
233.6,233.6,223.01,223.01,2.31,-82.81414995,222.02
223.01,227.49,222,222.02,4.91,-69.67032967,226.79
222.02,229,222.02,226.79,10.28,-52.59308511,223.6
226.79,228,223.26,223.6,39.33,-76.07950651,234.74
223.6,235.23,223.6,234.74,93.12,-3.703703704,233.27
234.74,238.89,232.09,233.27,41.04,-33.2741267,234.99
233.27,235.69,231,234.99,23.61,-23.11796088,230.96
234.99,237.58,227.96,230.96,42.22,-50.73576456,227.49
230.96,232.14,226.03,227.49,5.8,-74.55853499,220.15
227.49,227.49,216.34,220.15,35.01,-83.10421286,228.26
220.15,238.56,217.34,228.26,28.26,-46.35463546,224.84
228.26,233.25,224,224.84,42.78,-61.74617462,226
224.84,232,224,226,24.59,-56.52565257,237.31
226,239.65,225.69,237.31,49.81,-10.03861004,232.1
237.31,238.97,231.7,232.1,30.42,-33.84132676,234.15
232.1,239.09,231.21,234.15,31.21,-35.14376997,240.36
234.15,242.5,234.15,240.36,24.95,-11.56756757,236.19
240.36,242.11,236.19,236.19,12.16,-37.53718025,235.59
236.19,239.11,231.42,235.59,14.64,-61.20460585,228
234.88,239.35,228,228,50.49,-100,235.71
228,242.44,227,235.71,25.63,-43.80645161,240.51
235.71,243,234.8,240.51,14.68,-15.5625,241.74
240.51,243,234.13,241.74,14.44,-7.875,239.24
241.74,242.62,236.13,239.24,8.45,-23.5,241.86
239.24,243.15,238.8,241.86,35.81,-7.987616099,242.99
241.86,242.99,237.55,242.99,32.16,-1.77383592,235.09
