"open","high","low","close","volume","will14","ema12","next1"
379,400,370.1,400,20.85,0,370.1508965,411.26
400,418.99,395.28,411.26,29.73,-5.306879033,376.475374,400.31
411.26,411.26,385.48,400.31,11.23,-12.82438556,380.1422395,389.14
400.31,400.31,374.61,389.14,16.08,-20.49292874,381.5265103,381.01
389.14,389.14,376.73,381.01,0.05216,-26.07441988,381.4470472,395.79
381.01,395.79,371,395.79,0.9598,-15.9275024,383.6536553,395.79
395.79,395.79,395.79,395.79,0,-19.49743676,385.5207853,391.24
395.79,395.79,391.24,391.24,0.05,-26.70066391,386.4006645,391.58
391.24,391.58,371,391.58,9.92,-32.63483748,387.1974853,388.71
391.58,393.49,371.38,388.71,2.66,-36.12072051,387.4301799,368.64
388.71,388.71,365,368.64,11.95,-76.10338573,384.539383,373.35
368.64,373.69,355,373.35,7.6,-68.98428053,382.8179394,359.51
373.35,373.35,355,359.51,7.81,-89.90326481,379.2321026,362.5
359.51,384.72,359.51,362.5,6.12,-88.27941866,376.657933,364.3
362.5,368.15,362.5,364.3,0.04324,-85.46647914,374.7567125,365.13
364.3,365.13,352.01,365.13,0.5898,-77.85654008,373.2756798,335.07
365.13,365.13,335.01,335.07,8.87,-99.90811639,367.3978829,346.02
335.07,350,335,346.02,7.56,-81.87201842,364.1089779,347.95
346.02,347.95,344.29,347.95,0.03559,-78.69715414,361.6229813,320
347.95,347.95,320,320,5.66,-100,355.2194457,323.94
320,325.19,320,323.94,0.1154,-94.80142499,350.4072233,325
323.94,325.19,323.94,325,4.97,-93.19635325,346.4984197,325
325,330,325,325,16.87,-93.19635325,343.1909705,328.2
325,348.2,325,328.2,9.73,-88.06578373,340.8846674,348
328.2,349.17,328.2,348,0.04009,-56.73671199,341.9793339,347.08
348,348,333,347.08,6.6,-58.15822002,342.7640518,350
347.08,350,330.16,350,4.81,-53.64647713,343.8772746,350
350,350,338.66,350,19.36,-37.69470405,344.8192323,355
350,370,350,355,3.57,-30,346.3855043,371.7
355,372.63,355,371.7,5.42,-1.767053012,350.2800421,423.48
371.7,430.36,371.7,423.48,219.46,-6.234142805,361.5415741,415
423.48,450,380,415,65.88,-26.92307692,369.7659473,395
415,417.77,395,395,23.16,-42.30769231,373.6481092,379.99
395,395,378.97,379.99,10.68,-53.85384615,374.6237847,380
379.99,395,379.56,380,1.56,-55.52911312,375.4508948,400
380,414.26,376,400,25.27,-40,379.2276802,375.02
400,400,370.39,375.02,13.23,-59.984,378.5803448,390
375.02,392.96,375.02,390,0.9256,-49.26108374,380.3372148,354.38
390,390,354.33,354.38,67.07,-79.78971963,376.3437972,360
354.38,360,342.66,360,1.64,-75.10013351,373.8293668,370
360,370,360,370,4.05,-71.85198491,373.2402335,370
370,370,360,370,4.76,-74.52953233,372.741736,372
370,385,370,372,11.24,-72.66629402,372.6276228,376
372,390,372,376,10.13,-68.9398174,373.14645,372.87
376,389.94,366.42,372.87,19.24,-71.85578535,373.1039193,376.9
372.87,385.69,365.01,376.9,2.38,-54.41352683,373.6879317,387
376.9,387,360.52,387,23.27,-38.0726257,375.7359422,379.09
387,387,379.09,379.09,4.2,-49.12011173,376.2519511,386.32
379.09,386.32,379.09,386.32,0.001595,-39.02234637,377.8008817,374.03
386.32,386.74,370.13,374.03,4.18,-45.2912452,377.220746,386.15
374.03,386.15,372.91,386.15,3.81,-13.5387674,378.5944774,380
386.15,386.15,371.46,380,23.49,-21.12378538,378.8107117,379.75
380,380,364.72,379.75,3.76,-21.65188002,378.9552176,375.19
379.75,380,375.19,375.19,4.68,-49.36666667,378.3759533,374
375.19,394.59,367,374,34.17,-59.52587453,377.7027297,373.07
374,389.98,370.43,373.07,0.3818,-63.16407397,376.9900021,362.58
373.07,376.06,360.29,362.58,4.53,-93.32361516,374.7730787,345.49
362.58,376,342.46,345.49,6.64,-94.1876079,370.2679897,345.56
345.49,357.5,345.49,345.56,0.1607,-94.05332822,366.4667605,372.12
345.56,372.12,342.5,372.12,0.7364,-43.10377901,367.3364896,360
372.12,372.12,346.77,360,0.9118,-66.3533474,366.2077989,352
360,360,350,352,33.15,-81.69959716,364.0219837,350
352,358.98,350,350,0.6043,-85.5361596,361.8647554,343.07
350,358.98,342.04,343.07,22.78,-98.03996194,358.9732546,330.09
342.04,358.92,330.09,330.09,4.45,-100,354.529677,329.99
330.09,355.33,315.02,329.99,30.11,-81.18637678,350.7543421,320
329.99,332.17,310,320,5.86,-88.17827166,346.0229048,349.98
320,368.12,310.03,349.98,23.07,-52.73673011,346.6316887,348.99
349.98,349.98,348.99,348.99,1.87,-51.25031258,346.9945058,325.01
348.99,348.99,319.67,325.01,39.87,-77.27823191,343.6122742,327.06
325.01,327.06,325.01,327.06,1.08,-74.15151515,341.0657704,338.75
327.06,342.08,327.06,338.75,0.5716,-53.71860914,340.7094981,320.38
338.75,338.75,320.38,320.38,4.11,-83.29040567,337.581883,320.38
320.38,320.38,320.38,320.38,0,-83.29040567,334.9354394,320.48
320.38,320.48,320.38,320.48,0.01,-81.96834136,332.7115257,313.37
320.48,320.48,313.37,313.37,3.74,-94.20165175,329.7359063,313.01
313.37,320.04,313.01,313.01,1.9,-94.82105988,327.16269,314.76
313.01,325,313.01,314.76,29.97,-91.81004818,325.2545838,313
314.76,338.95,313,313,4.55,-94.83826566,323.3692632,319.14
313,319.14,313,319.14,9.61,-84.27391604,322.7186074,325
319.14,325,314.03,325,0.435,-74.22964366,323.0695908,315.3
325,325,313.18,315.3,8.92,-93.78042185,321.8742692,295
315.3,319.93,295,295,52.48,-100,317.7397662,265.87
295,297.48,265.87,265.87,25.49,-100,309.7598022,277.4
265.87,280,252.32,277.4,61.92,-72.05882353,304.7813711,281.15
277.4,293.66,260,281.15,8.48,-66.72053561,301.1457755,300
281.15,300,269,300,7.71,-44.96132979,300.9695024,283.53
300,300,283.53,283.53,8.34,-63.97321944,298.286502,283.5
283.53,295.72,283,283.5,3.5,-64.00784947,296.0116555,277.78
283.5,300,274.73,277.78,53.89,-70.61064296,293.2067855,265
277.78,277.78,265,265,1.77,-85.36303821,288.86728,265.06
265,300,263.02,265.06,59.03,-85.29377814,285.2046215,216
265.06,268,215.09,216,200.71,-99.17204986,274.5577567,175
216,230.99,175,175,204.92,-100,259.2411787,219
175,236.47,175,219,133.32,-70.66666667,253.0502282,213.36
219,219,195.2,213.36,44.71,-73.53204996,246.9440392,200
213.36,213.36,196,200,9.22,-80,239.7218793,219.98
200,220,199.5,219.98,31.12,-64.016,236.6846671,211.01
