open,high,low,close,volume,will5,will14,ema12,ema26,cny,ltc,next1
590.59,602.33,584.75,596.24,8.34,-63.47342398,-49.80557356,600.2450097,593.463855,6.21299,0.01628,584.42
596.24,596.24,584.42,584.42,2.64,-87.82447466,-59.38107583,597.8103928,592.7939398,6.2125,0.01633,586.15
584.42,595.23,576.13,586.15,2.85,-62.4156039,-55.14915694,596.0164862,592.3017961,6.21318,0.01651,564.42
586.15,586.15,557.43,564.42,29.23,-84.43207127,-70.67522864,591.1554883,590.2364779,6.217799,0.01623,583.26
564.42,583.26,564.42,583.26,2.76,-42.47216036,-47.20275951,589.9407978,589.7197018,6.220052,0.01563,597.69
583.26,600,575.35,597.69,21.78,-5.426356589,-31.64816212,591.1329828,590.3100942,6.213757,0.01547,596.12
597.69,604.38,590.76,596.12,4.14,-17.59318424,-33.34051956,591.9002162,590.7404576,6.207016,0.01537,589.76
596.12,602.3,589.76,589.76,0.9983,-31.13951012,-53.56219477,591.5709522,590.6678311,6.206219,0.0149,637.07
589.76,645,587.72,637.07,18.67,-9.841151651,-9.055612653,598.5708057,594.1050288,6.205803,0.01393,650
637.07,657.83,634.16,650,12.04,-9.493210475,-7.798804781,606.4829894,598.2453971,6.19543,0.01307,645.77
650,658.87,638,645.77,25.77,-18.41180604,-12.91403785,612.5271449,601.765738,6.191039,0.01261,647.55
645.77,655.08,638.89,647.55,6.04,-15.91004919,-11.15930599,617.9152764,605.1571648,6.199959,0.01259,635.25
647.55,655,622.6,635.25,10.3,-33.19747013,-23.28470032,620.582157,607.3862637,6.201261,0.01161,628.99
635.25,635.25,618,628.99,3.74,-73.10986053,-29.45583596,621.8756713,608.9865405,6.198297,0.01155,629.1
628.99,652.78,628.99,629.1,2.25,-72.84071446,-29.34739748,622.9871065,610.4764264,6.200043,0.01127,625.99
629.1,638.97,614.74,625.99,6.47,-72.1120476,-32.41324921,623.4490901,611.62558,6.20586,0.01224,617.04
625.99,626.87,614.74,617.04,1.44,-94.28713363,-41.23619874,622.4630762,612.0266481,6.198928,0.01232,627.9
617.04,627.9,615.35,627.9,1.63,-65.40483701,-32.78983589,623.2995261,613.202452,6.19803,0.01257,614.47
627.9,632.11,614.47,614.47,0.6427,-100,-53.16091954,621.9411374,613.2963444,6.193982,0.01254,629.46
614.47,629.46,614.47,629.46,1.5,-38.81632653,-41.33520731,623.0978855,614.4936522,6.194739,0.01246,632
629.46,639.34,629.46,632,0.6899,-29.51347004,-37.76528461,624.4674416,615.7904187,6.195723,0.01365,626.5
632,653.49,625.29,626.5,1.05,-69.16965659,-45.49543219,624.7801429,616.5837211,6.194826,0.01438,626.23
626.5,632.67,618.14,626.23,1.34,-69.86160943,-73.51351351,625.0031978,617.2982602,6.19446,0.0142,620.03
626.23,626.23,620.03,620.03,0.18,-85.75089698,-87.47747748,624.2380905,617.5006113,6.197868,0.01393,625.22
620.03,626.16,612.9,625.22,7.41,-69.64769648,-70.79184448,624.3891535,618.0724179,6.200212,0.01353,624.98
625.22,630.01,610.35,624.98,0.9631,-66.08715809,-67.23404255,624.4800529,618.5840906,6.19765,0.01421,626
624.98,629,615.17,626,12.29,-29.88351254,-63.7227631,624.7138909,619.1334173,6.196868,0.01411,630
626,630,626,630,1.56,-0.0508647,-54.45062587,625.5271385,619.9383493,6.199752,0.01411,619
630,630,619,619,0.5068,-56.00203459,-79.94900325,624.5229633,619.868842,6.198592,0.01379,629.77
619,629.77,619,629.77,0.0006352,-1.220752798,-54.98377376,625.3301998,620.6022611,6.2067,0.01392,618.69
629.77,629.77,618.69,618.69,8.44,-76.26432906,-80.66759388,624.3086306,620.4606121,6.20127,0.0138,618.62
618.69,623.98,610,618.62,7.5,-56.9,-80.17935158,623.4334566,620.3242705,6.195547,0.01376,605.64
618.62,623.43,593.86,605.64,17.72,-67.40453791,-80.2448432,620.6960018,619.2365467,6.191859,0.01304,596.08
605.64,623.22,593.8,596.08,8.67,-93.66138449,-96.1802647,616.9089246,617.521247,6.188057,0.01258,600
596.08,607.96,593.8,600,5.06,-82.76341396,-89.6130005,614.3075516,616.2233768,6.185641,0.01281,600
600,600,600,600,0.1545,-79.45659377,-84.04939542,612.1063898,615.0216452,6.186159,0.01319,591.9
600,600,574.58,591.9,4.09,-64.54452405,-68.75338264,608.9977144,613.3089308,6.186246,0.01305,583.21
591.9,597.66,575.07,583.21,2.68,-82.25740132,-84.43081364,605.0303737,611.0793803,6.182646,0.01314,566.75
583.21,588.98,566.75,566.75,11.67,-100,-100,599.1410855,607.7957225,6.177176,0.01298,590.21
566.75,591.95,566.75,590.21,33.05,-29.44360902,-62.90909091,597.7670723,606.4930764,6.170139,0.01301,596.4
590.21,602.36,584.77,596.4,3.05,-16.73687167,-53.12252964,597.5567535,605.7454411,6.172315,0.01291,590.49
596.4,601.18,590.49,590.49,2.57,-33.33333333,-62.46640316,596.4695607,604.6154084,6.178579,0.01294,578.86
590.49,594.8,578.86,578.86,1.79,-65.99269868,-80.78387813,593.7603975,602.7076004,6.178215,0.01281,596.25
578.86,596.25,578.86,596.25,4.11,-17.15810166,-53.18946366,594.1434133,602.2292596,6.1774,0.0127,579
596.25,598.03,579,579,9.04,-99.40425532,-78.59514241,591.8136574,600.5085737,6.17638,0.01232,579
579,579,579,579,0,-99.37275986,-78.38743825,589.8423255,598.9153461,6.169614,0.01234,580.58
579,593,577.24,580.58,16.81,-83.93458393,-75.50911989,588.4173523,597.5571723,6.162975,0.01215,590
580.58,590,580.58,590,0.4273,-38.62433862,-43.58165494,588.6608366,596.9973817,6.162273,0.01198,590
590,590,578.14,590,7.8,-38.62433862,-34.70935131,588.8668617,596.4790572,6.157515,0.01188,583.24
590,595.36,583.24,583.24,1.66,-66.88741722,-53.69278293,588.0011907,595.4983863,6.156337,0.01179,572.77
583.24,595.36,572.77,572.77,0.4779,-100,-83.09463634,585.6579306,593.8148021,6.15592,0.01056,580
572.77,580,566.99,580,3.82,-54.14169898,-62.79135074,584.7874797,592.7914834,6.15474,0.009931,535.08
580,580,531.64,535.08,4.35,-94.60138104,-95.13574661,577.1401751,588.5165587,6.157496,0.009162,523.76
535.08,553.83,501,523.76,31.83,-75.87961,-77.54538279,568.9278405,583.7197766,6.155415,0.009946,530
523.76,530,501,530,22.87,-69.26663841,-71.05210621,562.938942,579.7405339,6.153421,0.01017,503.52
530,530,500,503.52,12.1,-95.6,-96.40926247,553.7975663,574.0945684,6.150897,0.009691,500
503.52,539.99,500,500,2.65,-100,-100,545.5210176,568.6060819,6.150575,0.008876,455
500,505,455,455,28.55,-100,-100,531.5947072,560.1908165,6.149238,0.008198,500.5
455,500.5,455,500.5,77.76,-46.46428992,-67.58335708,526.8109061,555.7692746,6.145718,0.009549,530
474.02,530,474.02,530,13.53,-11.75432404,-46.56597321,527.3015359,553.8604394,6.143888,0.0107,505
530,530,500.01,505,4.62,-41.16954936,-64.37731547,523.8705304,550.2411476,6.142109,0.01115,529.95
505,529.97,482.22,529.95,9.62,-0.066666667,-46.6015959,524.8058334,548.7380996,6.152138,0.01033,525
529.95,529.95,482.27,525,0.5639,-6.666666667,-50.12824166,524.8357052,546.9797219,6.153941,0.009691,524.88
525,525,524.88,524.88,0.7,-9.146123616,-50.21373611,524.8425198,545.3427055,6.153657,0.01064,516.12
524.88,524.88,490.1,516.12,26.86,-29.04981164,-51.104,523.5005937,543.1780606,6.153758,0.01036,516.12
516.12,516.12,516.12,516.12,0,-29.0052356,-51.104,522.3651177,541.1737598,6.155758,0.01085,524.85
516.12,524.85,516.12,524.85,1.31,-10.69630872,-29.32308004,522.7474073,539.9645924,6.155734,0.01058,495.08
524.85,524.85,495.08,495.08,0.02382,-85.73065903,-52.84151077,518.4908831,536.6398078,6.147656,0.01033,524.88
495.08,524.88,495.08,524.88,0.5178,0,-17.77856218,519.4738242,535.7687109,6.146739,0.01058,524.27
