"open","high","low","close","volume","next1"
288.75,293.79,287.5,287.5,9.26,276.74
287.5,292,273.4,276.74,54.21,280.38
276.74,281.31,275.52,280.38,4.76,278.01
280.38,281.69,274.92,278.01,14.07,275.54
278.01,279.57,274.32,275.54,0.4725,277.56
275.54,280.4,275.54,277.56,83.54,276.45
277.56,281.41,276.45,276.45,20.68,276.98
276.45,279.38,275.31,276.98,60.14,276.89
276.98,278.4,276.03,276.89,24.71,290
276.89,290,276.18,290,41.53,288.92
290,291.81,286.67,288.92,27.57,291.28
288.92,293.85,287.83,291.28,8.72,296.1
291.28,296.1,286.55,296.1,11.07,293.56
296.1,296.8,287,293.56,57.37,291.61
293.56,293.56,280,291.61,29.31,288.96
291.61,291.61,280,288.96,30.74,293.48
288.96,293.48,280,293.48,41.34,283.27
293.48,293.48,277.12,283.27,63.84,283.84
283.27,289.89,277.91,283.84,0.8988,283.87
283.84,285.51,280.57,283.87,18.34,287.68
283.87,287.68,280.53,287.68,21.61,284.83
287.68,287.77,281.02,284.83,30.98,278.67
284.83,286.96,278.6,278.67,19.72,281.04
278.67,290,274.15,281.04,62.78,263.83
281.04,283.78,263.83,263.83,20.31,269.77
263.83,269.77,258,269.77,23.82,266.85
269.77,273.88,262.49,266.85,19.33,270
266.85,270,260,270,99.5,270
270,270,265.49,270,61.28,264.03
270,270,261.64,264.03,138.89,268.33
264.03,270,262.01,268.33,368.75,265.55
268.33,269.22,265.22,265.55,164.32,260.35
265.55,270,257.01,260.35,263.6,258.64
260.35,263.12,257.57,258.64,88.91,247.99
258.64,259.93,247.99,247.99,480.9,230.12
247.99,247.99,188.11,230.12,422.39,236.87
230.12,238.71,228.91,236.87,527.39,234.39
236.87,238.71,232.62,234.39,137.94,231.99
234.39,235.32,223.1,231.99,171.18,228.13
231.99,232.38,226.07,228.13,52.24,212.48
228.13,228.13,209.79,212.48,288.68,224.7
212.48,235.99,204.01,224.7,535.65,227.87
224.7,243.38,223.11,227.87,153.24,226.01
227.87,233,225.31,226.01,176.15,233.15
226.01,237.98,222.57,233.15,263.59,229
233.15,234.97,228.95,229,99.35,228.5
229,233.1,226.68,228.5,61.66,230.92
228.5,233.51,226,230.92,98.64,229.24
230.92,231.12,226.87,229.24,100.04,226.82
229.24,232.99,226.82,226.82,191.81,226.94
226.82,231.13,226.17,226.94,292.34,231.01
226.94,231.79,226.55,231.01,151.63,236.32
231.01,237,230.25,236.32,173.97,241.99
236.32,243.38,236.32,241.99,112.16,241.07
241.99,242.78,239.13,241.07,148.82,243.27
241.07,246.51,240.35,243.27,253.52,239.03
243.27,244.97,238.18,239.03,194.48,238.16
239.03,240.46,236.99,238.16,43.19,239.43
238.16,241.65,238.16,239.43,69.18,236.21
239.43,242.12,233.67,236.21,111.08,232.43
236.21,237.45,228.68,232.43,88.56,230.65
232.43,232.64,226.32,230.65,468.96,229.12
230.65,232.32,228.6,229.12,122.06,229.08
229.12,232.2,226.91,229.08,65.86,233.37
229.08,236,227.88,233.37,43.24,232.83
233.37,235.5,231.92,232.83,62.93,232.01
232.83,233.29,230,232.01,70.59,230.17
