"open","high","low","close","volume","will5","ema12","ema26","next1"
385,450,385,385.01,1.2,-92.87173845,441.2928718,470.7776072,404.83
385.01,425,295,404.83,24.18,-47.24277068,435.6831992,465.8925993,449.81
404.83,453,404.83,449.81,6.9,-25.63646844,437.8565532,464.7012956,433.15
449.81,449.81,412.34,433.15,4.09,-19.52583445,437.1324681,462.3641626,397
433.15,433.15,397,397,4.51,-35.44303797,430.9582422,457.5223728,397
397,397,397,397,0,-35.44303797,425.7338972,453.0392341,397
397,397,397,397,0,-100,421.3132977,448.8881797,390
397,450,387.63,390,10.78,-96.2000962,416.4958673,444.5260923,370.94
390,394,370.01,370.94,0.7155,-98.83735467,409.4872723,439.0752706,380.02
370.94,393.22,370.12,380.02,6.68,-87.48593574,404.9538458,434.7008062,390
380.02,390,380.02,390,2,-75.00937617,402.6532541,431.3896353,370.11
390,390,370.1,370.11,0.275,-99.87498437,397.6465996,426.8504031,355
370.11,389.98,355,355,20.27,-100,391.0855843,421.528151,322.11
355,369.63,322.11,322.11,38.11,-100,380.473956,414.1638435,330
322.11,330,273.33,330,18.72,-51.42710208,372.708732,407.9294847,349.85
330,349.85,300,349.85,53.41,-34.41330248,369.192004,403.6273007,335
349.85,349.85,315.06,335,0.12,-47.13244749,363.9316957,398.5437969,359.98
335,359.98,335,359.98,8.1,-10.02076843,363.3237425,395.6872194,370.19
359.98,400,335.16,370.19,30.22,-23.53359122,364.3800898,393.7985365,355.59
370.19,378.99,355.59,355.59,7.78,-44.41,363.0277683,390.9682745,357.18
355.59,379,355.59,357.18,0.4618,-50.41205557,362.1281116,388.4654394,379
357.18,379,352.83,379,16.63,-32.30769231,364.7237868,387.7642957,400
379,400,370.1,400,20.85,0,370.1508965,388.6706442,411.26
400,418.99,395.28,411.26,29.73,-11.68379686,376.475374,390.3439298,400.31
411.26,411.26,385.48,400.31,11.23,-28.23458283,380.1422395,391.0821572,389.14
400.31,400.31,374.61,389.14,16.08,-45.11789601,381.5265103,390.9382937,381.01
389.14,389.14,376.73,381.01,0.05216,-77.68459808,381.4470472,390.2028645,395.79
381.01,395.79,371,395.79,0.9598,-48.34340488,383.6536553,390.6167264,395.79
395.79,395.79,395.79,395.79,0,-38.42523597,385.5207853,390.9999319,391.24
395.79,395.79,391.24,391.24,0.05,-30.94506994,386.4006645,391.0177147,391.58
391.24,391.58,371,391.58,9.92,-16.9826543,387.1974853,391.0593655,388.71
391.58,393.49,371.38,388.71,2.66,-28.55990319,387.4301799,390.8853384,368.64
388.71,388.71,365,368.64,11.95,-88.17797986,384.539383,389.2375356,373.35
368.64,373.69,355,373.35,7.6,-55.0134837,382.8179394,388.0606811,359.51
373.35,373.35,355,359.51,7.81,-88.28267082,379.2321026,385.9458158,362.5
359.51,384.72,359.51,362.5,6.12,-80.51441933,376.657933,384.2090887,364.3
362.5,368.15,362.5,364.3,0.04324,-72.41174726,374.7567125,382.7343414,365.13
364.3,365.13,352.01,365.13,0.5898,-59.88994191,373.2756798,381.4303161,335.07
365.13,365.13,335.01,335.07,8.87,-99.87929994,367.3978829,377.9962186,346.02
335.07,350,335,346.02,7.56,-77.83588093,364.1089779,375.6276098,347.95
346.02,347.95,344.29,347.95,0.03559,-60.93514329,361.6229813,373.5774165,320
347.95,347.95,320,320,5.66,-100,355.2194457,369.608719,323.94
320,325.19,320,323.94,0.1154,-91.26966541,350.4072233,366.2258509,325
323.94,325.19,323.94,325,4.97,-83.33333333,346.4984197,363.1720842,325
325,330,325,325,16.87,-82.11091234,343.1909705,360.3445224,328.2
325,348.2,325,328.2,9.73,-70.92198582,340.8846674,357.9634467,348
328.2,349.17,328.2,348,0.04009,-4.010970175,341.9793339,357.2254136,347.08
348,348,333,347.08,6.6,-8.28378914,342.7640518,356.4739015,350
347.08,350,330.16,350,4.81,0,343.8772746,355.9943532,350
350,350,338.66,350,19.36,0,344.8192323,355.550327,355
350,370,350,355,3.57,-35.88516746,346.3855043,355.5095621,371.7
355,372.63,355,371.7,5.42,-2.189781022,350.2800421,356.7088538,423.48
371.7,430.36,371.7,423.48,219.46,-6.866267465,361.5415741,361.6548646,415
423.48,450,380,415,65.88,-31.4352434,369.7659473,365.6063561,395
415,417.77,395,395,23.16,-55,373.6481092,367.7836631,379.99
395,395,378.97,379.99,10.68,-73.69473684,374.6237847,368.6878362,380
379.99,395,379.56,380,1.56,-89.39974457,375.4508948,369.5257742,400
380,414.26,376,400,25.27,-67.56756757,379.2276802,371.7831243,375.02
400,400,370.39,375.02,13.23,-90.22794428,378.5803448,372.0228929,390
375.02,392.96,375.02,390,0.9256,-55.29974926,380.3372148,373.3545304,354.38
390,390,354.33,354.38,67.07,-99.91656933,376.3437972,371.9490097,360
354.38,360,342.66,360,1.64,-75.78212291,373.8293668,371.0638978,370
360,370,360,370,4.05,-52.31949773,373.2402335,370.9850906,370
370,370,360,370,4.76,-45.64612326,372.741736,370.9121209,372
370,385,370,372,11.24,-38.02281369,372.6276228,370.9927045,376
372,390,372,376,10.13,-29.57329954,373.14645,371.3636153,372.87
376,389.94,366.42,372.87,19.24,-57.1,373.1039193,371.4751994,376.9
372.87,385.69,365.01,376.9,2.38,-43.66666667,373.6879317,371.8770365,387
376.9,387,360.52,387,23.27,-10.17639077,375.7359422,372.997256,379.09
387,387,379.09,379.09,4.2,-37.00814111,376.2519511,373.4485703,386.32
379.09,386.32,379.09,386.32,0.001595,-12.30455472,377.8008817,374.4020096,374.03
386.32,386.74,370.13,374.03,4.18,-48.98036254,377.220746,374.3744533,386.15
374.03,386.15,372.91,386.15,3.81,-3.209969789,378.5944774,375.246716,380
386.15,386.15,371.46,380,23.49,-41.49377593,378.8107117,375.5988111,379.75
380,380,364.72,379.75,3.76,-31.74386921,378.9552176,375.9063066,375.19
379.75,380,375.19,375.19,4.68,-52.45231608,378.3759533,375.8532469,374
375.19,394.59,367,374,34.17,-68.93203883,377.7027297,375.7159693,373.07
374,389.98,370.43,373.07,0.3818,-72.04553063,376.9900021,375.5199716,362.58
373.07,376.06,360.29,362.58,4.53,-93.32361516,374.7730787,374.5614552,345.49
362.58,376,342.46,345.49,6.64,-94.1876079,370.2679897,372.4080141,345.56
345.49,357.5,345.49,345.56,0.1607,-94.05332822,366.4667605,370.4192723,372.12
345.56,372.12,342.5,372.12,0.7364,-37.58417508,367.3364896,370.5452521,360
372.12,372.12,346.77,360,0.9118,-47.79761905,366.2077989,369.7641223,352
360,360,350,352,33.15,-71.55635063,364.0219837,368.4482614,350
352,358.98,350,350,0.6043,-74.67927076,361.8647554,367.0817235,343.07
