open,high,low,close,volume,nextvolume
320.48,320.48,313.37,313.37,3.74,1.9
313.37,320.04,313.01,313.01,1.9,29.97
313.01,325,313.01,314.76,29.97,4.55
314.76,338.95,313,313,4.55,9.61
313,319.14,313,319.14,9.61,0.435
319.14,325,314.03,325,0.435,8.92
325,325,313.18,315.3,8.92,52.48
315.3,319.93,295,295,52.48,25.49
295,297.48,265.87,265.87,25.49,61.92
265.87,280,252.32,277.4,61.92,8.48
277.4,293.66,260,281.15,8.48,7.71
281.15,300,269,300,7.71,8.34
300,300,283.53,283.53,8.34,3.5
283.53,295.72,283,283.5,3.5,53.89
283.5,300,274.73,277.78,53.89,1.77
277.78,277.78,265,265,1.77,59.03
265,300,263.02,265.06,59.03,200.71
265.06,268,215.09,216,200.71,204.92
216,230.99,175,175,204.92,133.32
175,236.47,175,219,133.32,44.71
219,219,195.2,213.36,44.71,9.22
213.36,213.36,196,200,9.22,31.12
200,220,199.5,219.98,31.12,7.54
219.98,219.98,206,211.01,7.54,5.22
211.01,219.84,208.4,219.82,5.22,47.35
219.82,225.91,206.1,224.49,47.35,26.41
224.49,241.02,224.49,227.02,26.41,10.24
227.02,231.24,222.68,228.04,10.24,108.7
228.04,251.36,228.02,250.87,108.7,46.71
250.87,257.06,241.28,257.06,46.71,86.66
257.06,307.05,250.04,270,86.66,59.44
270,270,205,250.85,59.44,66.57
250.85,280,248,248,66.57,36.22
248,248,222.28,231.83,36.22,55.19
231.83,239.36,220,220,55.19,13.39
220,239.98,216.69,216.69,13.39,5.1
216.69,239.98,210.01,239.98,5.1,5.23
239.98,239.98,223.94,228,5.23,18.47
228,246.93,228,235.45,18.47,15.17
235.45,235.45,221.85,228.9,15.17,17.34
228.9,228.9,215.25,217,17.34,12.4
217,225,215,221.92,12.4,1.81
221.92,231.58,218.44,229.66,1.81,14.25
229.66,229.66,218.81,229.23,14.25,16.66
229.23,229.23,215,220.5,16.66,3.39
220.5,221.92,215,215.01,3.39,5.63
215.01,215.01,205,207.2,5.63,2.52
207.2,224,207.2,224,2.52,58.79
224,240,207,232.8,58.79,44.01
232.8,250,228,250,44.01,48.46
250,264.8,228,233.94,48.46,27.26
233.94,250.66,227.67,250.66,27.26,7.42
250.66,250.66,230.3,249.98,7.42,14.94
249.98,249.98,230.3,236,14.94,6.17
236,244.06,236,240.1,6.17,40.23
240.1,248.5,240.1,241.03,40.23,0.2377
241.03,244.09,240.09,240.12,0.2377,21.4
240.12,247.44,235,235,21.4,28.05
235,239.9,234.08,236.12,28.05,0.88
236.12,238,236.12,238,0.88,6.48
238,240.18,237.02,237.02,6.48,22.71
237.02,239.64,235,239.64,22.71,122.77
239.64,259.42,238,256,122.77,43.61
256,256,244,250.13,43.61,24.21
250.13,261.5,240.01,250.36,24.21,53.78
250.36,280,249.89,271.37,53.78,24.73
271.37,280.09,264.69,277,24.73,36.32
277,285.73,267.32,269.4,36.32,16.6
269.4,278.61,265.17,274.49,16.6,10.93
274.49,275.46,260,260,10.93,0.1874
260,270,260,269.93,0.1874,3.76
269.93,280,269.93,270.08,3.76,18.78
270.08,297.51,270.08,297,18.78,26.6
297,300,287.21,295,26.6,37.08
295,299.94,289,295.68,37.08,10.73
295.68,296.94,289.37,290.28,10.73,77.95
290.28,293,272,285,77.95,54.76
285,288.63,272.64,282.33,54.76,0.1454
282.33,288,281.51,288,0.1454,32.99
288,294.44,288,294.44,32.99,17.76
294.44,294.96,284,284,17.76,37.81
284,288.2,250,257.48,37.81,6.26
257.48,280.87,253.45,255,6.26,1.21
255,271,255,261.65,1.21,0.1201
261.65,272.49,259.68,259.68,0.1201,18.18
259.68,271.34,258.06,271.34,18.18,9.08
271.34,272,263,266.58,9.08,28.13
266.58,266.58,245,255.33,28.13,10.57
255.33,255.33,237.69,250.98,10.57,14.12
250.98,269,250.05,251.9,14.12,0.6849
251.9,252,242.88,252,0.6849,2.12
252,255.7,247.81,252.5,2.12,4.38
252.5,252.5,240.44,243.59,4.38,4.65
243.59,269,240.19,269,4.65,1.03
269,269,244.42,244.42,1.03,17.81
244.42,249.24,241.06,242.98,17.81,16.16
242.98,255.93,240,251.2,16.16,6.6
251.2,256,249.37,252.9,6.6,9.16
252.9,255,249.52,249.56,9.16,1.45
249.56,259.99,249.56,259.99,1.45,8.99
259.99,262.42,253.01,254.38,8.99,25.79
254.42,256.88,246.51,248.84,25.79,13.77
248.84,258.24,244.39,249.46,13.77,7.55
249.46,249.46,239.96,249.27,7.55,37.67
249.27,249.27,232.85,242.5,37.67,23.62
242.5,242.5,230.76,232.58,23.62,18.94
232.58,240,232.58,240,18.94,21.32
240,254.38,223.54,227.94,21.32,41.27
227.94,231.85,216.5,221.98,41.27,12.48
221.98,224,219.66,220.11,12.48,9.11
220.11,234.7,220.11,233.6,9.11,2.31
233.6,233.6,223.01,223.01,2.31,4.91
223.01,227.49,222,222.02,4.91,10.28
222.02,229,222.02,226.79,10.28,39.33
226.79,228,223.26,223.6,39.33,93.12
223.6,235.23,223.6,234.74,93.12,41.04
234.74,238.89,232.09,233.27,41.04,23.61
233.27,235.69,231,234.99,23.61,42.22
234.99,237.58,227.96,230.96,42.22,5.8
230.96,232.14,226.03,227.49,5.8,35.01
227.49,227.49,216.34,220.15,35.01,28.26
220.15,238.56,217.34,228.26,28.26,42.78
228.26,233.25,224,224.84,42.78,24.59
224.84,232,224,226,24.59,49.81
226,239.65,225.69,237.31,49.81,30.42
237.31,238.97,231.7,232.1,30.42,31.21
232.1,239.09,231.21,234.15,31.21,24.95
234.15,242.5,234.15,240.36,24.95,12.16
240.36,242.11,236.19,236.19,12.16,14.64
236.19,239.11,231.42,235.59,14.64,50.49
234.88,239.35,228,228,50.49,25.63
228,242.44,227,235.71,25.63,14.68
235.71,243,234.8,240.51,14.68,14.44
240.51,243,234.13,241.74,14.44,8.45
241.74,242.62,236.13,239.24,8.45,35.81
239.24,243.15,238.8,241.86,35.81,32.16
241.86,242.99,237.55,242.99,32.16,63.85
242.99,244,235.08,235.09,63.85,7.28
235.09,237.99,235,236.47,7.28,1.22
238.51,240.05,237.49,238.98,1.22,3.67
238.98,239.39,235.14,237.35,3.67,1.39
237.35,237.57,235.6,235.86,1.39,13.18
235.86,236.62,231.91,233.34,13.18,24.91
233.34,233.91,231.43,232.78,24.91,23.32
232.78,235.06,231.1,234.8,23.32,11.64
234.55,238.18,233.97,236.09,11.64,63.87
236.09,244,233.91,237.59,63.87,28.22
237.59,240.84,237.39,237.39,28.22,10.83
237.39,241.13,237.39,240.68,10.83,31.94
240.68,240.68,234.83,235.92,31.94,6.32
236.19,237.11,235.17,236.03,6.32,8.24
236.03,238,234.77,235.3,8.24,1.62
235.3,237.9,234.03,235.83,1.62,8.44
235.83,235.92,234.91,234.91,8.44,13.47
234.91,235.24,230.55,232.81,13.47,12.77
232.81,235.86,227.59,227.59,12.77,33.59
227.59,232.4,222.03,224.23,33.59,4.71
224.23,229.5,222.29,229.5,4.71,23.8
229.5,229.5,226,227,23.8,48.91
227,228.79,223.04,223.12,48.91,35.25
223.12,228.3,220.34,225,35.25,5.36
225,225.65,223.7,223.7,5.36,0.3
223.7,225.33,223.7,224.35,0.3,0
224.35,224.35,224.35,224.35,0,2.41
226.79,230.92,226.79,230.92,2.41,8.95
230.92,230.92,226.57,227.26,8.95,33.69
227.26,231.59,227.26,228.92,33.69,62.23
228.92,233.15,228.86,229.44,62.23,25.31
229.44,231.06,226.14,231.04,25.31,18.23
232,233.29,231.19,232.15,18.23,20.07
232.15,235.54,231.34,235.54,20.07,140.78
235.54,251,233.82,247.14,140.78,67.31
247.14,256.38,245.03,245.03,67.31,29.81
245.03,252.66,244,247.5,29.81,116.85
247.69,249.63,227,245.5,116.85,19.41
245.5,245.5,241.5,243.85,19.41,41.9
243.85,244.96,238.05,241,41.9,39.37
241,248.08,241,248.08,39.37,49.66
248.08,248.08,243.72,243.72,49.66,1.31
243.72,243.72,240.17,241.67,1.31,16.47
241.67,244,239.53,242.04,16.47,1.76
242.04,244,242,242,1.76,33.66
242,251.93,242,251.93,33.66,55.48
251.93,260,247.45,248.5,55.48,95.24
248.5,268.5,248.5,268.47,95.24,67.94
268.47,273,258.49,262.63,67.94,71.06
262.63,265.02,255.5,258.1,71.06,15.94
258.1,259.76,253.43,254.74,15.94,19.88
254.74,273,252.88,254.01,19.88,17.28
254.01,263,254.01,262,17.28,69.67
262,274.68,257.12,269.62,69.67,96.76
269.62,278,268.14,274.59,96.76,29.65
274.59,274.59,265,265.36,29.65,35.2
265.36,276.32,265.36,270.01,35.2,34.26
270.01,275.67,267.39,269.67,34.26,167.87
269.67,297,268.96,284.54,167.87,71.96
284.54,298.99,283.06,293.6,71.96,138.95
293.6,316.01,291.69,308.14,138.95,337.1
308.14,312.3,269,290.18,337.1,36.2
290.18,295.97,286.79,288.75,36.2,9.26
288.75,293.79,287.5,287.5,9.26,54.21
287.5,292,273.4,276.74,54.21,4.76
276.74,281.31,275.52,280.38,4.76,14.07
280.38,281.69,274.92,278.01,14.07,0.4725
278.01,279.57,274.32,275.54,0.4725,83.54
275.54,280.4,275.54,277.56,83.54,20.68
277.56,281.41,276.45,276.45,20.68,60.14
276.45,279.38,275.31,276.98,60.14,24.71
276.98,278.4,276.03,276.89,24.71,41.53
276.89,290,276.18,290,41.53,27.57
290,291.81,286.67,288.92,27.57,8.72
288.92,293.85,287.83,291.28,8.72,11.07
291.28,296.1,286.55,296.1,11.07,57.37
296.1,296.8,287,293.56,57.37,29.31
293.56,293.56,280,291.61,29.31,30.74
291.61,291.61,280,288.96,30.74,41.34
288.96,293.48,280,293.48,41.34,63.84
293.48,293.48,277.12,283.27,63.84,0.8988
283.27,289.89,277.91,283.84,0.8988,18.34
283.84,285.51,280.57,283.87,18.34,21.61
283.87,287.68,280.53,287.68,21.61,30.98
287.68,287.77,281.02,284.83,30.98,19.72
284.83,286.96,278.6,278.67,19.72,62.78
278.67,290,274.15,281.04,62.78,20.31
281.04,283.78,263.83,263.83,20.31,23.82
263.83,269.77,258,269.77,23.82,19.33
269.77,273.88,262.49,266.85,19.33,99.5
266.85,270,260,270,99.5,61.28
270,270,265.49,270,61.28,138.89
270,270,261.64,264.03,138.89,368.75
264.03,270,262.01,268.33,368.75,164.32
268.33,269.22,265.22,265.55,164.32,263.6
265.55,270,257.01,260.35,263.6,88.91
260.35,263.12,257.57,258.64,88.91,480.9
258.64,259.93,247.99,247.99,480.9,422.39
247.99,247.99,188.11,230.12,422.39,527.39
230.12,238.71,228.91,236.87,527.39,137.94
236.87,238.71,232.62,234.39,137.94,171.18
234.39,235.32,223.1,231.99,171.18,52.24
231.99,232.38,226.07,228.13,52.24,288.68
228.13,228.13,209.79,212.48,288.68,535.65
212.48,235.99,204.01,224.7,535.65,153.24
224.7,243.38,223.11,227.87,153.24,176.15
227.87,233,225.31,226.01,176.15,263.59
226.01,237.98,222.57,233.15,263.59,99.35
233.15,234.97,228.95,229,99.35,61.66
229,233.1,226.68,228.5,61.66,98.64
228.5,233.51,226,230.92,98.64,100.04
230.92,231.12,226.87,229.24,100.04,191.81
229.24,232.99,226.82,226.82,191.81,292.34
226.82,231.13,226.17,226.94,292.34,151.63
226.94,231.79,226.55,231.01,151.63,173.97
231.01,237,230.25,236.32,173.97,112.16
236.32,243.38,236.32,241.99,112.16,148.82
241.99,242.78,239.13,241.07,148.82,253.52
241.07,246.51,240.35,243.27,253.52,194.48
