"open","high","low","close","volume","ema26","cny","next1"
529.95,529.95,482.27,525,0.5639,546.9797219,6.153941,524.88
525,525,524.88,524.88,0.7,545.3427055,6.153657,516.12
524.88,524.88,490.1,516.12,26.86,543.1780606,6.153758,516.12
516.12,516.12,516.12,516.12,0,541.1737598,6.155758,524.85
516.12,524.85,516.12,524.85,1.31,539.9645924,6.155734,495.08
524.85,524.85,495.08,495.08,0.02382,536.6398078,6.147656,524.88
495.08,524.88,495.08,524.88,0.5178,535.7687109,6.146739,524.27
524.88,524.88,495.26,524.27,0.4584,534.9169546,6.147069,509.98
524.27,524.27,490.5,509.98,5.61,533.0697727,6.147277,490.01
509.98,509.98,490.01,490.01,0.09953,529.8801599,6.14566,524.77
490.01,524.77,490.01,524.77,3.811e-05,529.5016296,6.146636,524.77
524.77,524.77,524.77,524.77,0,529.1511385,6.151354,475.01
524.77,524.77,475,475.01,3.41,525.1406838,6.146463,475.01
475.01,475.01,475.01,475.01,0,521.4272998,6.143207,524.77
475.01,524.77,475.01,524.77,0.1769,521.6749072,6.144009,480
524.77,524.77,480,480,1.24,518.5878771,6.144597,488.77
480,524.77,465,488.77,41.14,516.3791454,6.144358,475
488.77,488.77,465,475,0.5077,513.3140235,6.144418,475
475,475,475,475,0.02,510.4759477,6.14179,475
475,475,475,475,1.01,507.8480998,6.134987,475
475,475,475,475,0,505.4149072,6.133626,474.77
475,475,474.77,474.77,0.1492,503.1449141,6.136327,490
474.77,490,474.77,490,0.212,502.1712167,6.136656,465.01
490,490,465.01,465.01,3.08,499.418534,6.137044,465
465.01,528,465,465,2.76,496.869013,6.142704,445
465,465,445,445,5.14,493.0268639,6.147393,503.18
445,503.18,400,503.18,18.12,493.778948,6.142219,375.94
503.18,503.18,375.94,375.94,1.5,485.050137,6.142629,385
375.94,466.67,375.94,385,0.1559,477.6390158,6.144038,385.01
385,450,385,385.01,1.2,470.7776072,6.142998,404.83
385.01,425,295,404.83,24.18,465.8925993,6.14266,449.81
404.83,453,404.83,449.81,6.9,464.7012956,6.14191,433.15
449.81,449.81,412.34,433.15,4.09,462.3641626,6.139969,397
433.15,433.15,397,397,4.51,457.5223728,6.137421,397
397,397,397,397,0,453.0392341,6.136682,397
397,397,397,397,0,448.8881797,6.130823,390
397,450,387.63,390,10.78,444.5260923,6.131459,370.94
390,394,370.01,370.94,0.7155,439.0752706,6.131138,380.02
370.94,393.22,370.12,380.02,6.68,434.7008062,6.149998,390
380.02,390,380.02,390,2,431.3896353,6.141918,370.11
390,390,370.1,370.11,0.275,426.8504031,6.141835,355
370.11,389.98,355,355,20.27,421.528151,6.141513,322.11
355,369.63,322.11,322.11,38.11,414.1638435,6.139627,330
322.11,330,273.33,330,18.72,407.9294847,6.139763,349.85
330,349.85,300,349.85,53.41,403.6273007,6.14083,335
349.85,349.85,315.06,335,0.12,398.5437969,6.14101,359.98
335,359.98,335,359.98,8.1,395.6872194,6.141132,370.19
359.98,400,335.16,370.19,30.22,393.7985365,6.140429,355.59
370.19,378.99,355.59,355.59,7.78,390.9682745,6.13106,357.18
355.59,379,355.59,357.18,0.4618,388.4654394,6.130664,379
357.18,379,352.83,379,16.63,387.7642957,6.131653,400
379,400,370.1,400,20.85,388.6706442,6.131878,411.26
400,418.99,395.28,411.26,29.73,390.3439298,6.127538,400.31
411.26,411.26,385.48,400.31,11.23,391.0821572,6.127972,389.14
400.31,400.31,374.61,389.14,16.08,390.9382937,6.128931,381.01
