open,high,low,close,volume,nextlow
270,270,261.64,264.03,138.89,262.01
264.03,270,262.01,268.33,368.75,265.22
268.33,269.22,265.22,265.55,164.32,257.01
265.55,270,257.01,260.35,263.6,257.57
260.35,263.12,257.57,258.64,88.91,247.99
258.64,259.93,247.99,247.99,480.9,188.11
247.99,247.99,188.11,230.12,422.39,228.91
230.12,238.71,228.91,236.87,527.39,232.62
236.87,238.71,232.62,234.39,137.94,223.1
234.39,235.32,223.1,231.99,171.18,226.07
231.99,232.38,226.07,228.13,52.24,209.79
228.13,228.13,209.79,212.48,288.68,204.01
212.48,235.99,204.01,224.7,535.65,223.11
224.7,243.38,223.11,227.87,153.24,225.31
227.87,233,225.31,226.01,176.15,222.57
226.01,237.98,222.57,233.15,263.59,228.95
233.15,234.97,228.95,229,99.35,226.68
229,233.1,226.68,228.5,61.66,226
228.5,233.51,226,230.92,98.64,226.87
230.92,231.12,226.87,229.24,100.04,226.82
229.24,232.99,226.82,226.82,191.81,226.17
226.82,231.13,226.17,226.94,292.34,226.55
226.94,231.79,226.55,231.01,151.63,230.25
231.01,237,230.25,236.32,173.97,236.32
236.32,243.38,236.32,241.99,112.16,239.13
241.99,242.78,239.13,241.07,148.82,240.35
241.07,246.51,240.35,243.27,253.52,238.18
243.27,244.97,238.18,239.03,194.48,236.99
239.03,240.46,236.99,238.16,43.19,238.16
238.16,241.65,238.16,239.43,69.18,233.67
239.43,242.12,233.67,236.21,111.08,228.68
236.21,237.45,228.68,232.43,88.56,226.32
232.43,232.64,226.32,230.65,468.96,228.6
230.65,232.32,228.6,229.12,122.06,226.91
229.12,232.2,226.91,229.08,65.86,227.88
229.08,236,227.88,233.37,43.24,231.92
233.37,235.5,231.92,232.83,62.93,230
232.83,233.29,230,232.01,70.59,230.17
232.01,232.01,230.17,230.17,1.97,226.95
230.17,231.49,226.95,227.17,32.07,223.1
227.17,233.86,223.1,228.6,155.16,228.23
228.6,231.08,228.23,230.24,101.29,229.71
230.24,235,229.71,231.78,41.49,231.78
231.78,237.2,231.78,236,142.01,233.46
236,236,233.46,233.49,52.56,230.62
233.49,235,230.62,230.62,29.87,230.62
230.62,239.97,230.62,239.42,120.69,235
239.42,240,235,238.02,95.55,235
238.02,238.02,235,236,40.02,234.59
236,238,234.59,237.8,37.17,236.46
237.8,239.86,236.46,236.98,71,236.43
236.98,238.8,236.43,238.8,18.77,237.6
238.8,239.95,237.6,238.97,12.85,237.16
238.97,240.44,237.16,240,81.09,239.45
