close,volume,macd,rsi,obv,atr,mom,usd_close,gold_close,sma_plus_3
"4,996.92",4.02,54.79,63.68113345,207.33,49.21212426,1.020295987,"9,717.50","1.421,00",4993.82
"4,975.33",3.79,52.4,60.17845127,203.54,47.7034011,1.015458436,"9,723.50","1.408,60",4994.88
"5,011.61",3.59,52.83,63.78338378,207.13,46.04672959,1.027499856,"9,717.50","1.423,40",4990.926667
"4,994.52",5.09,51.2,60.98281695,202.04,46.58624891,1.014268134,"9,718.00","1.461,80",5004.11
"4,978.51",4.04,48.06,58.39605851,198,45.19508827,1.008365048,"9,720.50","1.453,60",5031.58
"4,999.75",3.6,46.75,60.77332441,201.6,43.63686768,1.021484946,"9,720.50","1.467,40",5029.68
"5,034.07",4.26,47.93,64.32092204,205.86,44.56066285,1.017960669,"9,722.50","1.472,20",4993.483333
"5,060.92",5.18,50.45,66.84705745,211.04,44.9856155,1.012457363,"9,722.50","1.446,30",4970.466667
"4,994.05",4.71,46.51,56.17893023,206.33,46.80807154,0.996291375,"9,737.00","1.467,70",4986.713333
"4,925.48",4.22,37.43,47.76163456,202.11,50.52892357,0.985399503,"9,734.50","1.464,30",5041.33
"4,991.87",3.42,35.18,54.81992138,205.53,51.41542903,0.998989377,"9,734.50","1.468,10",5079.353333
"5,042.79",4.77,37.08,59.35596244,210.3,51.8321841,1.0135589,"9,734.50","1.449,00",5083.3
"5,089.33",5.58,41.86,63.01125589,215.88,51.55559952,1.01550799,"9,730.00","1.473,90",5080.836667
"5,105.94",4,46.45,64.24710253,219.88,50.1880567,1.02230845,"9,734.00","1.436,80",5075.483333
"5,054.63",3.57,45.43,57.82033399,216.31,51.75105265,1.015289715,"9,737.50","1.434,50",5083.5
"5,081.94",3.75,46.28,60.10768453,220.06,51.23597746,1.016438822,"9,737.50","1.424,70",5104.746667
"5,089.88",3.67,47.06,60.77370921,223.73,49.43769335,1.011086457,"9,747.50","1.396,50",5146.446667
"5,078.68",4.46,46.24,59.27049175,219.27,48.49000097,1.003509243,"9,750.00","1.387,10",5183.14
"5,145.68",4.29,50.42,64.86861883,223.56,51.26642947,1.030362131,"9,755.50","1.364,90",5203.913333
"5,214.98",5.05,58.64,69.53311514,228.61,54.5923988,1.058775997,"9,757.50","1.384,30",5172.72
"5,188.76",4.98,62.33,65.96446705,223.63,57.07222745,1.039442133,"9,762.50","1.377,80",5161.496667
"5,208.00",5.79,66.04,67.29105379,229.42,56.58206835,1.032761626,"9,765.50","1.367,60",5150.906667
"5,121.40",6.35,61.28,56.59800128,223.07,61.05549204,1.006301419,"9,771.50","1.392,00",5177.336667
"5,155.09",4.65,59.55,59.30713499,227.72,60.49938547,1.009626043,"9,772.50","1.386,80",5168.856667
"5,176.23",5.96,59.2,60.95410157,233.68,64.36300079,1.024057152,"9,792.50","1.379,10",5132.99
"5,200.69",5.24,60.2,62.82870892,238.92,64.90778645,1.023367061,"9,802.50","1.391,30",5056.543333
"5,129.65",5.18,54.63,54.62586567,233.74,65.09223027,1.007813544,"9,805.00","1.411,50",5020.53
"5,068.63",7.44,44.78,48.73957204,226.3,66.20778525,0.998021139,"9,795.00","1.392,60",4998.06
"4,971.35",5.62,28.79,41.13032368,220.68,68.40865774,0.966121096,"9,805.00","1.411,70",4962.716667
"5,021.61",5.83,19.94,45.83532545,226.51,69.59732504,0.96292028,"9,800.00","1.397,10",4881.303333
"5,001.22",4.38,11.15,44.28885364,222.13,68.20894468,0.96385649,"9,792.50","1.398,40",4750.88
"4,865.32",3.77,-6.7,35.65428999,218.36,73.04402006,0.934201229,"9,805.00","1.383,00",4695.066667
"4,777.37",4.14,-27.62,31.389208,214.22,79.61087577,0.932825009,"9,812.50","1.386,20",4638.496667
"4,609.95",5.4,-57.06,25.20757935,208.82,88.77795607,0.894252089,"9,825.00","1.377,00",4688.76
"4,697.88",5.72,-72.45,32.70356943,214.54,95.7866735,0.907587182,"9,860.00","1.391,80",4714.3
"4,607.66",4.61,-90.89,29.44292934,209.93,98.21333967,0.8859709,"9,882.50","1.377,60",4791.896667
"4,760.74",4.72,-92.08,40.31629083,214.65,100.4373868,0.928082813,"9,872.50","1.387,30",4807.203333
"4,774.50",3.5,-90.87,41.19355994,218.15,97.04043064,0.941970513,"9,887.50","1.382,80",4759.033333
"4,840.45",4.66,-83.63,45.34046431,222.81,94.90825702,0.973669124,"9,905.00","1.366,60",4650.673333
"4,806.66",3.68,-79.7,43.64235597,219.13,93.78623866,0.957195003,"9,907.50","1.373,60",4524.94
"4,629.99",4.19,-89.8,36.04180229,214.94,95.89007876,0.925772112,"9,925.00","1.285,90",4454.566667
"4,515.37",4.89,-105.84,32.13198168,210.05,100.1143588,0.928072563,"9,925.00","1.291,60",4478.686667
"4,429.46",3.45,-124.05,29.54495086,206.6,102.3983332,0.927175412,"9,930.00","1.276,80",4560.783333
"4,418.87",3.49,-137.74,29.23251049,203.11,103.8820237,0.958550527,"9,920.00","1.274,80",4694.126667
"4,587.73",3.98,-133.44,40.10841051,207.09,107.2347363,0.976553254,"9,925.00","1.229,60",4757.366667
"4,675.75",3.62,-121.52,44.86502406,210.71,109.9501123,1.014777566,"9,925.00","1.211,40",4775.016667
"4,818.90",3.83,-99.38,51.5977679,214.54,109.0479614,1.012216588,"9,925.00","1.223,80",4694.433333
"4,777.45",2.22,-84.21,49.70506094,212.32,106.3245356,1.000617866,"9,927.50","1.255,90",4636.22
"4,728.70",2.75,-75.25,47.4982514,209.57,104.8513545,0.976913304,"9,933.00","1.243,60",4537.863333
"4,577.15",2.7,-79.46,41.35179736,206.87,108.1891149,0.952251667,"9,940.00","1.252,10",4480.08
"4,602.81",2.4,-79.81,42.70374128,209.27,105.1313209,0.994129577,"9,942.50","1.212,90",4438.69
"4,433.63",2.95,-92.67,36.69732498,206.32,109.7062266,0.981897386,"9,955.00","1.234,90",4495.553333
"4,403.80",3.1,-104.07,35.74271503,203.22,107.4729247,0.994206969,"9,957.50","1.245,90",4571.99
"4,478.64",3.94,-105.84,39.96240048,207.16,106.3220015,1.013526082,"9,965.00","1.247,40",4624.353333
"4,604.22",4.57,-96.01,46.33111345,211.73,107.1282871,1.00359437,"9,970.00","1.280,10",4637.626667
"4,633.11",3.4,-84.91,47.70546059,215.13,105.6584095,0.990880607,"9,992.50","1.277,80",4652.923333
"4,635.73",2.59,-75.03,47.83592253,217.72,102.3170945,0.961989251,"10,017.50","1.283,80",4681.16
"4,644.04",3.71,-65.77,48.2766786,221.43,98.03658775,0.972075061,"10,035.00","1.290,80",4707.95
"4,679.00",3.92,-54.99,50.18369051,225.35,93.61326005,0.989489712,"10,045.00","1.277,90",4707.943333
"4,720.44",3.44,-42.6,52.42291599,228.79,90.45588433,1.031305507,"10,060.00","1.284,60",4723.516667
"4,724.41",3.08,-32.09,52.64253512,231.87,86.39403545,1.026418644,"10,077.50","1.293,30",4721.413333
"4,678.98",2.51,-27.12,49.80907111,229.36,84.69803292,1.055338402,"10,065.00","1.336,40",4719.793333
"4,767.16",3.3,-15.88,54.88498297,232.66,83.67531628,1.082510559,"10,200.00","1.335,10",4683.696667
"4,718.10",2.81,-10.81,51.74927751,229.85,84.94493655,1.053467124,"10,260.00","1.319,70",4637.82
"4,674.12",2.55,-10.22,49.04418799,227.3,82.91315537,1.015181725,"10,267.50","1.329,00",4615.943333
"4,658.87",2.27,-10.86,48.10518168,225.03,80.75078712,1.00555998,"10,265.00","1.321,70",4599.78
"4,580.47",2.23,-17.49,43.49468171,222.8,80.25001662,0.988079547,"10,272.50","1.328,40",4614.403333
"4,608.49",2.53,-20.25,45.50493192,225.33,78.61858686,0.992345027,"10,272.50","1.324,00",4625.166667
