"open","high","low","close","volume","ema26","cny","ltc","next1"
475.01,475.01,475.01,475.01,0,521.4272998,6.143207,0.0103,524.77
475.01,524.77,475.01,524.77,0.1769,521.6749072,6.144009,0.01029,480
524.77,524.77,480,480,1.24,518.5878771,6.144597,0.01068,488.77
480,524.77,465,488.77,41.14,516.3791454,6.144358,0.01065,475
488.77,488.77,465,475,0.5077,513.3140235,6.144418,0.01064,475
475,475,475,475,0.02,510.4759477,6.14179,0.01107,475
475,475,475,475,1.01,507.8480998,6.134987,0.01131,475
475,475,475,475,0,505.4149072,6.133626,0.01127,474.77
475,475,474.77,474.77,0.1492,503.1449141,6.136327,0.01135,490
474.77,490,474.77,490,0.212,502.1712167,6.136656,0.01128,465.01
490,490,465.01,465.01,3.08,499.418534,6.137044,0.01096,465
465.01,528,465,465,2.76,496.869013,6.142704,0.01097,445
465,465,445,445,5.14,493.0268639,6.147393,0.01111,503.18
445,503.18,400,503.18,18.12,493.778948,6.142219,0.0112,375.94
503.18,503.18,375.94,375.94,1.5,485.050137,6.142629,0.01109,385
375.94,466.67,375.94,385,0.1559,477.6390158,6.144038,0.01058,385.01
385,450,385,385.01,1.2,470.7776072,6.142998,0.01067,404.83
385.01,425,295,404.83,24.18,465.8925993,6.14266,0.01061,449.81
404.83,453,404.83,449.81,6.9,464.7012956,6.14191,0.01102,433.15
449.81,449.81,412.34,433.15,4.09,462.3641626,6.139969,0.01106,397
433.15,433.15,397,397,4.51,457.5223728,6.137421,0.011,397
397,397,397,397,0,453.0392341,6.136682,0.01103,397
397,397,397,397,0,448.8881797,6.130823,0.01113,390
397,450,387.63,390,10.78,444.5260923,6.131459,0.01126,370.94
390,394,370.01,370.94,0.7155,439.0752706,6.131138,0.0113,380.02
370.94,393.22,370.12,380.02,6.68,434.7008062,6.149998,0.01154,390
380.02,390,380.02,390,2,431.3896353,6.141918,0.01163,370.11
390,390,370.1,370.11,0.275,426.8504031,6.141835,0.01151,355
370.11,389.98,355,355,20.27,421.528151,6.141513,0.01168,322.11
355,369.63,322.11,322.11,38.11,414.1638435,6.139627,0.01183,330
322.11,330,273.33,330,18.72,407.9294847,6.139763,0.01161,349.85
330,349.85,300,349.85,53.41,403.6273007,6.14083,0.01159,335
349.85,349.85,315.06,335,0.12,398.5437969,6.14101,0.0116,359.98
335,359.98,335,359.98,8.1,395.6872194,6.141132,0.01129,370.19
359.98,400,335.16,370.19,30.22,393.7985365,6.140429,0.01085,355.59
370.19,378.99,355.59,355.59,7.78,390.9682745,6.13106,0.0106,357.18
355.59,379,355.59,357.18,0.4618,388.4654394,6.130664,0.01053,379
357.18,379,352.83,379,16.63,387.7642957,6.131653,0.01038,400
379,400,370.1,400,20.85,388.6706442,6.131878,0.01009,411.26
400,418.99,395.28,411.26,29.73,390.3439298,6.127538,0.01039,400.31
411.26,411.26,385.48,400.31,11.23,391.0821572,6.127972,0.01041,389.14
400.31,400.31,374.61,389.14,16.08,390.9382937,6.128931,0.01045,381.01
389.14,389.14,376.73,381.01,0.05216,390.2028645,6.126903,0.01052,395.79
381.01,395.79,371,395.79,0.9598,390.6167264,6.126779,0.01047,395.79
395.79,395.79,395.79,395.79,0,390.9999319,6.123202,0.01034,391.24
395.79,395.79,391.24,391.24,0.05,391.0177147,6.128678,0.01024,391.58
391.24,391.58,371,391.58,9.92,391.0593655,6.127618,0.0102,388.71
391.58,393.49,371.38,388.71,2.66,390.8853384,6.125744,0.01012,368.64
388.71,388.71,365,368.64,11.95,389.2375356,6.1224,0.01042,373.35
368.64,373.69,355,373.35,7.6,388.0606811,6.123173,0.0105,359.51
373.35,373.35,355,359.51,7.81,385.9458158,6.122065,0.01053,362.5
359.51,384.72,359.51,362.5,6.12,384.2090887,6.121809,0.01055,364.3
362.5,368.15,362.5,364.3,0.04324,382.7343414,6.120768,0.01074,365.13
364.3,365.13,352.01,365.13,0.5898,381.4303161,6.118157,0.0108,335.07
365.13,365.13,335.01,335.07,8.87,377.9962186,6.115398,0.01102,346.02
335.07,350,335,346.02,7.56,375.6276098,6.118243,0.01093,347.95
346.02,347.95,344.29,347.95,0.03559,373.5774165,6.117161,0.01097,320
347.95,347.95,320,320,5.66,369.608719,6.117991,0.01091,323.94
320,325.19,320,323.94,0.1154,366.2258509,6.132216,0.01108,325
323.94,325.19,323.94,325,4.97,363.1720842,6.123276,0.01098,325
325,330,325,325,16.87,360.3445224,6.121344,0.01101,328.2
325,348.2,325,328.2,9.73,357.9634467,6.119927,0.01071,348
328.2,349.17,328.2,348,0.04009,357.2254136,6.117951,0.01055,347.08
348,348,333,347.08,6.6,356.4739015,6.126435,0.01043,350
347.08,350,330.16,350,4.81,355.9943532,6.127529,0.01048,350
350,350,338.66,350,19.36,355.550327,6.127878,0.01022,355
350,370,350,355,3.57,355.5095621,6.124998,0.01008,371.7
355,372.63,355,371.7,5.42,356.7088538,6.127366,0.01004,423.48
371.7,430.36,371.7,423.48,219.46,361.6548646,6.129691,0.00947,415
423.48,450,380,415,65.88,365.6063561,6.129121,0.009748,395
415,417.77,395,395,23.16,367.7836631,6.132587,0.00998,379.99
395,395,378.97,379.99,10.68,368.6878362,6.132237,0.01016,380
379.99,395,379.56,380,1.56,369.5257742,6.131998,0.009995,400
380,414.26,376,400,25.27,371.7831243,6.128358,0.01002,375.02
400,400,370.39,375.02,13.23,372.0228929,6.12518,0.009991,390
375.02,392.96,375.02,390,0.9256,373.3545304,6.123991,0.009921,354.38
390,390,354.33,354.38,67.07,371.9490097,6.127213,0.0102,360
354.38,360,342.66,360,1.64,371.0638978,6.128385,0.00994,370
360,370,360,370,4.05,370.9850906,6.128365,0.009915,370
370,370,360,370,4.76,370.9121209,6.128246,0.009793,372
370,385,370,372,11.24,370.9927045,6.141846,0.009551,376
372,390,372,376,10.13,371.3636153,6.13801,0.00956,372.87
376,389.94,366.42,372.87,19.24,371.4751994,6.139247,0.009709,376.9
372.87,385.69,365.01,376.9,2.38,371.8770365,6.138613,0.009705,387
376.9,387,360.52,387,23.27,372.997256,6.141255,0.009532,379.09
387,387,379.09,379.09,4.2,373.4485703,6.141537,0.009498,386.32
379.09,386.32,379.09,386.32,0.001595,374.4020096,6.141826,0.009426,374.03
386.32,386.74,370.13,374.03,4.18,374.3744533,6.148186,0.009409,386.15
374.03,386.15,372.91,386.15,3.81,375.246716,6.145527,0.009495,380
386.15,386.15,371.46,380,23.49,375.5988111,6.14603,0.00956,379.75
380,380,364.72,379.75,3.76,375.9063066,6.149557,0.009634,375.19
379.75,380,375.19,375.19,4.68,375.8532469,6.14802,0.009535,374
375.19,394.59,367,374,34.17,375.7159693,6.148091,0.009569,373.07
